id,created_at,ETF종목코드,ETF종목명,구성종목코드,구성종목명,구성비중(%)
93786,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,035420,NAVER,28.38
93787,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,035720,카카오,25.46
93788,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,018260,삼성에스디에스,15.36
93789,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,064400,LG씨엔에스,7.54
93790,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,307950,현대오토에버,6.85
93791,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,012510,더존비즈온,4.51
93792,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,466100,클로봇,2.88
93793,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,328130,루닛,2.16
93794,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,124500,아이티센글로벌,1.9
93795,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,064260,다날,1.25
93796,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,041190,우리기술투자,0.94
93797,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,181710,NHN,0.92
93798,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,304100,솔트룩스,0.73
93799,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,338220,뷰노,0.55
93800,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,035510,신세계 I&C,0.26
93801,2026-02-02T16:21:08.87304+00:00,0103T0,1Q K소버린AI,KRD010010001,원화현금,0.31
93802,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,000660,SK하이닉스,29.39
93803,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,005930,삼성전자,18.27
93804,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,005380,현대차,5.52
93805,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,105560,KB금융,3.7
93806,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,012450,한화에어로스페이스,3.45
93807,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,000270,기아,3.1
93808,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,055550,신한지주,2.94
93809,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,012330,현대모비스,2.3
93810,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,086790,하나금융지주,2.21
93811,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,316140,우리금융지주,1.72
93812,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,267260,HD현대일렉트릭,1.59
93813,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,064350,현대로템,1.34
93814,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,000810,삼성화재,1.25
93815,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,033780,KT&G,1.18
93816,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,030200,KT,1.03
93817,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,047810,한국항공우주,0.96
93818,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,298040,효성중공업,0.95
93819,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,006800,미래에셋증권,0.93
93820,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,017670,SK텔레콤,0.87
93821,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,267250,HD현대,0.86
93822,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,086280,현대글로비스,0.78
93823,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,138040,메리츠금융지주,0.77
93824,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,010120,LS ELECTRIC,0.71
93825,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,071050,한국금융지주,0.69
93826,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,042700,한미반도체,0.67
93827,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,259960,크래프톤,0.61
93828,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,272210,한화시스템,0.56
93829,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,005830,DB손해보험,0.53
93830,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,079550,LIG넥스원,0.53
93831,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,011200,HMM,0.52
93832,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,039490,키움증권,0.5
93833,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,003490,대한항공,0.49
93834,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,180640,한진칼,0.44
93835,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,016360,삼성증권,0.43
93836,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,058470,리노공업,0.4
93837,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,021240,코웨이,0.39
93838,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,090430,아모레퍼시픽,0.37
93839,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,003230,삼양식품,0.36
93840,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,175330,JB금융지주,0.34
93841,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,011070,LG이노텍,0.29
93842,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,000990,DB하이텍,0.27
93843,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,128940,한미약품,0.26
93844,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,214450,파마리서치,0.25
93845,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,241560,두산밥캣,0.25
93846,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,047050,포스코인터내셔널,0.24
93847,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,271560,오리온,0.22
93848,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,017800,현대엘리베이터,0.2
93849,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,014680,한솔케미칼,0.2
93850,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,052690,한전기술,0.2
93851,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,011780,금호석유화학,0.18
93852,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,403870,HPSP,0.17
93853,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,103140,풍산,0.17
93854,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,012750,에스원,0.17
93855,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,035250,강원랜드,0.17
93856,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,022100,포스코DX,0.16
93857,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,035900,JYP Ent.,0.16
93858,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,005290,동진쎄미켐,0.15
93859,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,357780,솔브레인,0.14
93860,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,214150,클래시스,0.13
93861,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,192820,코스맥스,0.13
93862,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,290650,엘앤씨바이오,0.13
93863,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,030000,제일기획,0.12
93864,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,036930,주성엔지니어링,0.11
93865,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,064760,티씨케이,0.11
93866,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,051600,한전KPS,0.1
93867,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,140860,파크시스템스,0.1
93868,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,008930,한미사이언스,0.09
93869,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,319660,피에스케이,0.09
93870,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,298020,효성티앤씨,0.09
93871,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,383220,F&F,0.08
93872,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,282330,BGF리테일,0.08
93873,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,026960,동서,0.07
93874,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,183300,코미코,0.06
93875,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,348210,넥스틴,0.06
93876,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,185750,종근당,0.05
93877,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,030190,NICE평가정보,0.05
93878,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,067160,SOOP,0.05
93879,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,383310,에코프로에이치엔,0.04
93880,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,192080,더블유게임즈,0.04
93881,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,031980,피에스케이홀딩스,0.04
93882,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,039130,하나투어,0.04
93883,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,018670,SK가스,0.04
93884,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,033100,제룡전기,0.04
93885,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,005300,롯데칠성,0.04
93886,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,272290,이녹스첨단소재,0.04
93887,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,089860,롯데렌탈,0.03
93888,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,336570,원텍,0.03
93889,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,009240,한샘,0.03
93890,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,005180,빙그레,0.03
93891,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,001060,JW중외제약,0.03
93892,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,009450,경동나비엔,0.03
93893,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,192650,드림텍,0.03
93894,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,145720,덴티움,0.03
93895,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,215200,메가스터디교육,0.02
93896,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,336370,솔루스첨단소재,0.02
93897,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,009900,명신산업,0.02
93898,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,381970,케이카,0.02
93899,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,002840,미원상사,0.01
93900,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,014820,동원시스템즈,0.01
93901,2026-02-02T16:21:08.87304+00:00,495330,1Q 코리아밸류업,KRD010010001,원화현금,0.16
93902,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,005380,현대차,11.6
93903,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,000270,기아,8.75
93904,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,012330,현대모비스,8.66
93905,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,006400,삼성SDI,8.27
93906,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,005490,POSCO홀딩스,7.93
93907,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,009150,삼성전기,7.52
93908,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,373220,LG에너지솔루션,6.11
93909,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,051910,LG화학,5.79
93910,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,247540,에코프로비엠,5.54
93911,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,066570,LG전자,5.08
93912,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,003670,포스코퓨처엠,3.5
93913,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,096770,SK이노베이션,3.36
93914,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,161390,한국타이어앤테크놀로지,2.07
93915,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,032640,LG유플러스,2.04
93916,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,078930,GS,1.41
93917,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,047050,포스코인터내셔널,1.37
93918,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,014680,한솔케미칼,1.18
93919,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,204320,HL만도,0.96
93920,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,357780,솔브레인,0.88
93921,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,323280,태성,0.75
93922,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,011210,현대위아,0.62
93923,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,178320,서진시스템,0.54
93924,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,137400,피엔티,0.48
93925,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,161580,필옵틱스,0.45
93926,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,361610,SK아이이테크놀로지,0.43
93927,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,078600,대주전자재료,0.4
93928,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,020150,롯데에너지머티리얼즈,0.39
93929,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,018880,한온시스템,0.39
93930,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,195870,해성디에스,0.31
93931,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,121600,나노신소재,0.3
93932,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,073240,금호타이어,0.28
93933,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,365340,성일하이텍,0.24
93934,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,056190,에스에프에이,0.2
93935,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,064960,SNT모티브,0.18
93936,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,023160,태광,0.18
93937,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,101360,에코앤드림,0.15
93938,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,100840,SNT에너지,0.15
93939,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,107640,한중엔시에스,0.13
93940,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,336370,솔루스첨단소재,0.12
93941,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,114190,강원에너지,0.11
93942,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,001820,삼화콘덴서,0.11
93943,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,036830,솔브레인홀딩스,0.11
93944,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,178920,PI첨단소재,0.1
93945,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,168360,펨트론,0.1
93946,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,393890,더블유씨피,0.09
93947,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,416180,신성에스티,0.09
93948,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,010690,화신,0.08
93949,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,033530,SJG세종,0.08
93950,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,003720,삼영,0.07
93951,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,243840,신흥에스이씨,0.05
93952,2026-02-02T16:21:08.87304+00:00,385600,ACE 2차전지&친환경차액티브,KRD010010001,원화현금,0.33
93953,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,042700,한미반도체,27.08
93954,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,000660,SK하이닉스,25.74
93955,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,005930,삼성전자,24.55
93956,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,240810,원익IPS,1.7
93957,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,000990,DB하이텍,1.6
93958,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,003160,디아이,1.56
93959,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,067310,하나마이크론,1.53
93960,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,058470,리노공업,1.51
93961,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,403870,HPSP,1.49
93962,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,005290,동진쎄미켐,1.39
93963,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,039030,이오테크닉스,1.35
93964,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,084370,유진테크,1.33
93965,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,140860,파크시스템스,1.32
93966,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,353200,대덕전자,1.3
93967,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,095340,ISC,1.3
93968,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,222800,심텍,1.13
93969,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,009150,삼성전기,1.08
93970,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,089030,테크윙,1.08
93971,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,356860,티엘비,0.94
93972,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,007660,이수페타시스,0.77
93973,2026-02-02T16:21:08.87304+00:00,469150,ACE AI반도체포커스,KRD010010001,원화현금,0.24
93974,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,005930,삼성전자,24.57
93975,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,000660,SK하이닉스,12.7
93976,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,105560,KB금융,6.12
93977,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,035420,NAVER,5.45
93978,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,402340,SK스퀘어,5.41
93979,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,055550,신한지주,5.13
93980,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,051910,LG화학,4.46
93981,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,005380,현대차,3.69
93982,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,028260,삼성물산,3.54
93983,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,086790,하나금융지주,3.1
93984,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,267270,HD건설기계,2.75
93985,2026-02-02T16:21:08.87304+00:00,385590,ACE ESG액티브,068270,셀트리온,2.56
